"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above"
587836,441336,383656,701761,326753,399938,176707,73169
43421,50546,50987,91733,75024,79550,31287,34578
761622,586581,723216,846897,680001,620258,345752,254569
442834,299851,259897,354345,166133,190995,76786,58526
4210595,2980321,3781282,3564943,3380098,3839825,1886212,2616367
465515,431630,483970,624334,652851,709777,344021,362804
233775,193104,336898,387957,328866,365159,190953,257448
69957,80498,82654,148255,95058,119509,36298,30082
64322,37511,54422,62028,48084,63001,55834,94060
2346695,2011580,2313023,2527743,1685643,2144569,702709,722695
1395839,772390,911377,1384194,771211,769643,459426,332586
69540,56867,128032,221381,146027,176230,69663,79418
163553,155780,202576,302026,172994,139230,45169,37160
1402731,722326,937779,1512513,1193676,1183276,506160,523684
699938,529536,597810,841831,709995,707778,133227,169017
276174,233591,262955,486058,303285,339814,123097,72426
363887,191549,248493,365008,229726,315443,107276,63822
636130,400248,310586,605054,390764,395190,90698,80559
627404,472254,297445,546562,342729,338334,145159,119550
144235,102277,131163,218606,131069,115068,49946,52271
522388,342727,418037,642464,482870,708617,350966,416927
542953,356436,411418,855502,547496,792940,490532,572159
1319194,670046,889255,1256403,819163,1078055,306156,351631
515688,387992,482989,695234,542711,716530,244888,205417
546971,254913,188576,290196,241479,199464,50455,51153
753763,477613,682020,754447,514688,582814,139937,165458
108973,97265,106758,146991,115788,104367,33007,17279
193783,147626,201356,202270,219453,187542,50030,80035
365794,312816,312446,376919,276730,269292,131751,73721
109516,74629,108219,181167,133122,180165,81547,60985
583696,426488,463668,1082850,856512,1028379,626136,630456
303379,247672,202852,235985,130976,140799,67157,55992
2084847,1392901,1214396,2206373,1749169,2136224,866301,1117974
1281208,939033,804567,1233608,946616,920101,308904,334139
61788,48084,83846,87484,70025,95065,20306,16368
1195683,1036768,1098797,1435712,994755,1078785,403235,484678
369536,402926,422559,515976,380526,274211,94176,106550
428046,296348,315932,690276,497632,424396,153845,172320
1595455,958556,800026,1642915,982700,1323664,622188,445322
122978,52488,97415,101266,137934,114794,41667,33718
766563,439958,399850,565450,345901,494666,146542,106965
56545,64799,68728,148877,88977,85616,20223,24677
795429,682460,756893,883473,575321,608200,202138,162958
3084225,3019360,2119482,3268947,2041283,2446262,1225316,1105243
180205,229323,247824,405070,396006,326253,130078,100066
57628,38644,56218,91145,71415,73223,29400,18247
494112,426239,722167,1092838,850549,899972,474826,617846
628326,453386,641729,986427,654842,913632,405799,555746
222583,154473,184727,269079,161210,119713,62562,31093
483640,487012,594655,728674,601914,593847,199259,169014
47379,38614,30737,88979,69325,58585,30782,25090
